order_item_id,order_id,product_id,quantity,unit_price,discount_pct,discount_amount,revenue
OI000001,O00001,P015,1,2462.43,0,0.0,2462.43
OI000002,O00001,P016,4,1733.4,5,346.68000000000006,6586.92
OI000003,O00001,P022,1,4361.46,5,218.073,4143.387
OI000004,O00002,P003,1,1860.27,0,0.0,1860.27
OI000005,O00002,P020,2,1206.71,0,0.0,2413.42
OI000006,O00002,P005,3,4069.51,10,1220.853,10987.677
OI000007,O00002,P021,3,1841.83,5,276.2745,5249.2155
OI000008,O00003,P015,4,2462.43,0,0.0,9849.72
OI000009,O00003,P023,1,4843.38,20,968.676,3874.704
OI000010,O00003,P021,2,1841.83,5,184.183,3499.477
OI000011,O00004,P008,4,1552.99,0,0.0,6211.96
OI000012,O00004,P015,4,2462.43,5,492.486,9357.233999999999
OI000013,O00004,P024,1,1610.89,0,0.0,1610.89
OI000014,O00004,P014,3,4136.96,15,1861.632,10549.248000000001
OI000015,O00005,P012,2,4334.39,15,1300.317,7368.463000000001
OI000016,O00005,P016,1,1733.4,0,0.0,1733.4
OI000017,O00005,P003,1,1860.27,5,93.01350000000001,1767.2565
OI000018,O00006,P024,3,1610.89,20,966.5340000000001,3866.136
OI000019,O00007,P018,1,1368.7,10,136.87,1231.83
OI000020,O00007,P018,3,1368.7,15,615.9150000000001,3490.1850000000004
OI000021,O00008,P014,3,4136.96,20,2482.1760000000004,9928.704000000002
OI000022,O00009,P024,1,1610.89,0,0.0,1610.89
OI000023,O00009,P020,3,1206.71,0,0.0,3620.13
OI000024,O00009,P004,2,4673.83,0,0.0,9347.66
OI000025,O00009,P022,4,4361.46,0,0.0,17445.84
OI000026,O00010,P012,3,4334.39,0,0.0,13003.170000000002
OI000027,O00011,P019,2,410.22,20,164.08800000000002,656.3520000000001
OI000028,O00011,P014,1,4136.96,10,413.696,3723.264
OI000029,O00011,P022,3,4361.46,0,0.0,13084.380000000001
OI000030,O00012,P009,3,3999.66,0,0.0,11998.98
OI000031,O00012,P012,1,4334.39,0,0.0,4334.39
OI000032,O00013,P019,4,410.22,0,0.0,1640.88
