order_id,customer_id,order_date,order_status,payment_method
O00001,C0087,2026-04-13,Cancelled,Debit Card
O00002,C0004,2026-08-29,Completed,Debit Card
O00003,C0075,2026-02-15,Completed,Upi
O00004,C0077,2026-01-28,Completed,Debit Card
O00005,C0041,2026-07-06,Completed,Net Banking
O00006,C0015,2026-05-11,Completed,Net Banking
O00007,C0033,2026-02-18,Completed,Cod
O00008,C0067,2026-01-01,Cancelled,Credit Card
O00009,C0056,2026-04-04,Completed,Debit Card
O00010,C0041,2026-06-09,Completed,Debit Card
O00011,C0040,2026-05-10,Completed,Debit Card
O00012,C0090,2026-04-14,Completed,Net Banking
O00013,C0025,2026-02-02,Completed,Cod
O00014,C0096,2026-06-23,Completed,Net Banking
O00015,C0039,2026-05-26,Completed,Net Banking
O00016,C0001,2026-08-02,Completed,Debit Card
O00017,C0056,2026-02-23,Returned,Net Banking
O00018,C0042,2026-06-17,Completed,Cod
O00019,C0087,2026-04-24,Completed,Net Banking
O00020,C0095,2026-05-02,Completed,Upi
O00021,C0066,2026-03-14,Returned,Debit Card
O00022,C0097,2026-01-24,Completed,Debit Card
O00023,C0026,2026-02-27,Completed,Upi
O00024,C0032,2026-01-12,Completed,Net Banking
O00025,C0099,2026-08-06,Completed,Cod
O00026,C0081,2026-04-17,Returned,Credit Card
O00027,C0090,2026-07-03,Completed,Cod
O00028,C0032,2026-04-13,Completed,Upi
O00029,C0097,2026-08-17,Completed,Cod
O00030,C0023,2026-02-26,Cancelled,Cod
O00031,C0072,2026-01-13,Completed,Upi
O00032,C0018,,Completed,Net Banking
O00033,C0077,2026-05-24,Completed,Cod
O00034,C0093,2026-06-06,Cancelled,Cod
O00035,C0071,2026-08-01,Completed,Credit Card
O00036,C0061,2026-07-10,Completed,Debit Card
O00037,C0032,2026-07-12,Completed,Net Banking
O00038,C0081,2026-05-05,Completed,Debit Card
O00039,C0010,2026-04-23,Completed,Credit Card
O00040,C0043,2026-03-11,Completed,Net Banking
O00041,C0018,2026-01-21,Completed,Credit Card
O00042,C0089,2026-04-09,Completed,Credit Card
O00043,C0054,2026-01-17,Completed,Debit Card
O00044,C0060,2026-05-19,Completed,Upi
O00045,C0054,2026-02-22,Completed,Net Banking
O00046,C0003,2026-06-28,Returned,Cod
O00047,C0001,2026-05-03,Completed,Debit Card
O00048,C0050,2026-07-12,Completed,Net Banking
O00049,C0095,2026-07-11,Cancelled,Net Banking
O00050,C0029,2026-08-18,Completed,Credit Card
O00051,C0056,2026-03-11,Completed,Upi
O00052,C0044,2026-04-10,Completed,Credit Card
O00053,C0060,2026-08-04,Completed,Net Banking
O00054,C0004,2026-05-17,Completed,Net Banking
O00055,C0085,2026-05-25,Completed,Upi
O00056,C0055,2026-06-14,Completed,Cod
O00057,C0007,2026-02-16,Completed,Cod
O00058,C0028,2026-03-25,Completed,Debit Card
O00059,C0098,2026-03-28,Completed,Debit Card
O00060,C0054,2026-07-12,Completed,Upi
O00061,C0003,2026-05-01,Cancelled,Upi
O00062,C0029,2026-03-31,Completed,Upi
O00063,C0004,2026-07-13,Completed,Credit Card
O00064,C0003,2026-08-03,Returned,Credit Card
O00065,C0017,2026-03-03,Completed,Upi
O00066,C0028,2026-05-25,Completed,Debit Card
O00067,C0048,2026-07-16,Completed,Net Banking
O00068,C0096,2026-06-05,Completed,Credit Card
O00069,C0014,2026-03-21,Returned,Upi
O00070,C0040,2026-08-26,Returned,Cod
O00071,C0092,2026-04-12,Completed,Upi
O00072,C0089,2026-06-01,Completed,Upi
O00073,C0099,2026-06-28,Completed,Net Banking
O00074,C0016,2026-07-26,Returned,Upi
O00075,C0069,2026-03-30,Completed,Debit Card
O00076,C0065,2026-01-18,Completed,Upi
O00077,C0054,2026-08-06,Completed,Upi
O00078,C0047,2026-04-21,Completed,Credit Card
O00079,C0023,2026-04-22,Cancelled,Debit Card
O00080,C0069,2026-06-07,Completed,Cod
O00081,C0094,2026-04-22,Completed,Debit Card
O00082,C0032,2026-03-24,Completed,Debit Card
O00083,C0058,2026-08-14,Completed,Cod
O00084,C0079,2026-05-26,Completed,Debit Card
O00085,C0064,2026-01-08,Completed,Credit Card
O00086,C0028,2026-05-05,Completed,Debit Card
O00087,C0036,2026-03-29,Returned,Debit Card
O00088,C0002,2026-05-23,Cancelled,Credit Card
O00089,C0031,2026-01-22,Completed,Cod
O00090,C0098,2026-05-23,Completed,Cod
O00091,C0092,2026-06-15,Completed,Cod
O00092,C0003,2026-07-22,Completed,Debit Card
O00093,C0052,2026-02-26,Completed,Debit Card
O00094,C0075,2026-06-19,Completed,Cod
O00095,C0068,2026-05-22,Completed,Cod
O00096,C0071,2026-07-10,Completed,Debit Card
O00097,C0059,2026-06-29,Completed,Debit Card
O00098,C0030,2026-03-06,Completed,Credit Card
O00099,C0016,2026-03-22,Cancelled,Credit Card
O00100,C0028,2026-02-19,Completed,Debit Card
O00101,C0076,2026-07-05,Cancelled,Net Banking
O00102,C0013,2026-03-14,Completed,Debit Card
O00103,C0047,2026-02-28,Completed,Debit Card
O00104,C0091,2026-01-04,Cancelled,Credit Card
O00105,C0006,2026-03-12,Completed,Net Banking
O00106,C0090,2026-03-16,Completed,Cod
O00107,C0002,2026-01-27,Returned,Debit Card
O00108,C0062,2026-05-01,Completed,Debit Card
O00109,C0007,2026-02-17,Completed,Cod
O00110,C0009,2026-01-30,Completed,Cod
O00111,C0074,2026-01-19,Completed,Credit Card
O00112,C0073,2026-02-08,Completed,Upi
O00113,C0016,2026-03-05,Cancelled,Cod
O00114,C0077,2026-06-05,Returned,Credit Card
O00115,C0067,2026-07-18,Completed,Cod
O00116,C0057,2026-08-21,Completed,Net Banking
O00117,C0040,2026-04-20,Returned,Net Banking
O00118,C0079,2026-01-16,Completed,Credit Card
O00119,C0028,2026-06-10,Completed,Upi
O00120,C0031,2026-02-10,Completed,Net Banking
O00121,C0021,2026-01-20,Completed,Unknown
O00122,C0089,2026-04-26,Returned,Cod
O00123,C0005,2026-03-16,Completed,Debit Card
O00124,C0037,2026-06-30,Completed,Upi
O00125,C0030,2026-06-25,Completed,Net Banking
O00126,C0026,2026-06-19,Completed,Upi
O00127,C0029,2026-05-20,Completed,Debit Card
O00128,C0019,2026-07-31,Completed,Upi
O00129,C0040,2026-02-12,Returned,Net Banking
O00130,C0037,2026-08-24,Completed,Upi
O00131,C0089,2026-04-30,Completed,Cod
O00132,C0065,2026-03-11,Cancelled,Cod
O00133,C0011,2026-04-23,Returned,Upi
O00134,C0056,2026-08-16,Completed,Net Banking
O00135,C0004,2026-03-06,Completed,Credit Card
O00136,C0074,2026-06-22,Returned,Upi
O00137,C0087,2026-07-15,Completed,Net Banking
O00138,C0098,2026-01-11,Completed,Cod
O00139,C0084,2026-05-13,Completed,Debit Card
O00140,C0075,2026-02-16,Completed,Cod
O00141,C0061,2026-01-24,Completed,Cod
O00142,C0042,2026-03-27,Completed,Credit Card
O00143,C0053,2026-03-26,Completed,Debit Card
O00144,C0052,2026-06-19,Cancelled,Upi
O00145,C0012,2026-04-27,Completed,Debit Card
O00146,C0015,2026-03-24,Completed,Net Banking
O00147,C0001,2026-07-31,Cancelled,Cod
O00148,C0007,2026-04-16,Completed,Net Banking
O00149,C0080,2026-04-03,Completed,Cod
O00150,C0007,2026-07-14,Completed,Debit Card
O00151,C0017,2026-05-21,Completed,Cod
O00152,C0090,2026-08-14,Completed,Upi
O00153,C0081,2026-01-08,Returned,Credit Card
O00154,C0021,2026-07-01,Completed,Net Banking
O00155,C0071,2026-01-04,Completed,Upi
O00156,C0015,2026-02-27,Completed,Upi
O00157,C0020,2026-06-15,Completed,Debit Card
O00158,C0091,2026-05-11,Completed,Cod
O00159,C0062,2026-08-02,Completed,Credit Card
O00160,C0071,2026-04-27,Completed,Cod
O00161,C0077,2026-02-18,Cancelled,Credit Card
O00162,C0009,2026-08-10,Completed,Cod
O00163,C0065,2026-03-29,Completed,Upi
O00164,C0093,2026-03-14,Completed,Net Banking
O00165,C0085,2026-05-29,Completed,Credit Card
O00166,C0069,2026-04-25,Completed,Debit Card
O00167,C0071,2026-03-27,Cancelled,Cod
O00168,C0042,2026-04-27,Completed,Credit Card
O00169,C0050,2026-05-27,Completed,Cod
O00170,C0041,2026-01-12,Completed,Cod
O00171,C0085,2026-04-09,Completed,Cod
O00172,C0017,2026-01-10,Cancelled,Net Banking
O00173,C0013,2026-03-26,Completed,Upi
O00174,C0059,2026-05-15,Completed,Credit Card
O00175,C0084,2026-04-15,Completed,Upi
O00176,C0034,2026-05-01,Completed,Net Banking
O00177,C0051,2026-06-27,Completed,Debit Card
O00178,C0087,2026-08-07,Cancelled,Cod
O00179,C0081,2026-03-23,Completed,Net Banking
O00180,C0080,2026-01-10,Completed,Credit Card
O00181,C0088,2026-06-11,Completed,Credit Card
O00182,C0012,2026-07-11,Completed,Upi
O00183,C0082,2026-07-14,Completed,Cod
O00184,C0089,2026-02-12,Completed,Upi
O00185,C0042,2026-01-12,Completed,Debit Card
O00186,C0048,2026-04-02,Completed,Credit Card
O00187,C0068,2026-03-04,Completed,Net Banking
O00188,C0024,2026-06-24,Completed,Credit Card
O00189,C0079,2026-01-21,Completed,Net Banking
O00190,C0031,2026-06-24,Completed,Net Banking
O00191,C0030,2026-02-06,Completed,Debit Card
O00192,C0033,2026-04-28,Completed,Cod
O00193,C0037,2026-08-19,Cancelled,Credit Card
O00194,C0057,2026-01-19,Completed,Net Banking
O00195,C0082,2026-03-18,Completed,Debit Card
O00196,C0039,2026-04-27,Completed,Cod
O00197,C0062,2026-08-07,Completed,Credit Card
O00198,C0074,2026-04-08,Completed,Net Banking
O00199,C0090,2026-03-17,Completed,Upi
O00200,C0085,2026-08-01,Completed,Debit Card
O00201,C0073,2026-01-03,Completed,Net Banking
O00202,C0064,2026-07-10,Completed,Credit Card
O00203,C0046,2026-06-05,Completed,Credit Card
O00204,C0033,2026-06-08,Completed,Upi
O00205,C0081,2026-08-20,Completed,Debit Card
O00206,C0057,2026-07-21,Completed,Net Banking
O00207,C0094,2026-04-04,Completed,Upi
O00208,C0038,2026-08-21,Completed,Cod
O00209,C0026,2026-02-14,Completed,Net Banking
O00210,C0047,2026-08-13,Cancelled,Net Banking
O00211,C0035,2026-08-22,Completed,Debit Card
O00212,C0062,2026-08-22,Completed,Debit Card
O00213,C0015,2026-07-25,Completed,Upi
O00214,C0097,2026-02-06,Completed,Cod
O00215,C0072,2026-08-05,Completed,Upi
O00216,C0051,2026-07-22,Completed,Debit Card
O00217,C0016,2026-05-18,Completed,Debit Card
O00218,C0096,2026-06-22,Completed,Net Banking
O00219,C0082,2026-04-08,Completed,Upi
O00220,C0030,2026-06-22,Completed,Upi
O00221,C0072,2026-06-08,Completed,Net Banking
O00222,C0083,2026-02-26,Completed,Cod
O00223,C0090,2026-08-21,Completed,Cod
O00224,C0018,2026-01-30,Completed,Upi
O00225,C0064,2026-03-19,Completed,Upi
O00226,C0069,2026-03-02,Completed,Cod
O00227,C0048,2026-04-27,Cancelled,Cod
O00228,C0096,2026-05-31,Completed,Cod
O00229,C0013,2026-06-17,Completed,Net Banking
O00230,C0036,2026-04-15,Completed,Debit Card
O00231,C0057,2026-02-25,Completed,Credit Card
O00232,C0047,2026-08-07,Completed,Debit Card
O00233,C0083,2026-05-20,Completed,Upi
O00234,C0036,2026-04-12,Completed,Upi
O00235,C0059,2026-08-06,Completed,Credit Card
O00236,C0082,2026-06-14,Returned,Upi
O00237,C0043,2026-01-13,Completed,Credit Card
O00238,C0073,2026-07-21,Completed,Upi
O00239,C0098,2026-08-01,Cancelled,Credit Card
O00240,C0028,2026-05-31,Completed,Debit Card
O00241,C0019,2026-07-18,Returned,Upi
O00242,C0019,2026-03-12,Completed,Net Banking
O00243,C0023,2026-03-06,Completed,Upi
O00244,C0002,2026-02-03,Completed,Credit Card
O00245,C0042,2026-05-31,Completed,Credit Card
O00246,C0007,2026-03-09,Completed,Cod
O00247,C0015,2026-05-15,Completed,Cod
O00248,C0100,2026-04-25,Completed,Net Banking
