order_item_id,order_id,product_id,quantity,unit_price,discount_pct
OI000001,O00001,P015,1,2462.43,0
OI000002,O00001,P016,4,1733.40,5
OI000003,O00001,P022,1,4361.46,5
OI000004,O00002,P003,1,1860.27,0
OI000005,O00002,P020,2,1206.71,0
OI000006,O00002,P005,3,4069.51,10
OI000007,O00002,P021,3,1841.83,5
OI000008,O00003,P015,4,2462.43,0
OI000009,O00003,P023,1,4843.38,20
OI000010,O00003,P021,2,1841.83,5
OI000011,O00004,P008,4,1552.99,0
OI000012,O00004,P015,4,2462.43,5
OI000013,O00004,P024,1,1610.89,0
OI000014,O00004,P014,3,4136.96,15
OI000015,O00005,P012,2,4334.39,15
OI000016,O00005,P016,1,1733.40,0
OI000017,O00005,P003,1,1860.27,5
OI000018,O00006,P024,3,1610.89,20
OI000019,O00007,P018,1,1368.70,10
OI000020,O00007,P018,3,1368.70,15
OI000021,O00008,P014,3,4136.96,20
OI000022,O00009,P024,1,1610.89,0
OI000023,O00009,P020,3,1206.71,0
OI000024,O00009,P004,2,4673.83,0
OI000025,O00009,P022,4,4361.46,0
OI000026,O00010,P012,3,4334.39,0
OI000027,O00011,P019,2,410.22,20
OI000028,O00011,P014,1,4136.96,10
OI000029,O00011,P022,3,4361.46,0
OI000030,O00012,P009,3,3999.66,0
OI000031,O00012,P012,1,4334.39,0
OI000032,O00013,P019,4,410.22,0
OI000033,O00013,P005,1,4069.51,0
OI000034,O00014,P013,4,1344.44,5
OI000035,O00014,P011,2,4398.18,0
OI000036,O00015,P024,3,1610.89,20
OI000037,O00015,P019,1,410.22,0
OI000038,O00015,P005,2,4069.51,20
OI000039,O00016,P022,1,4361.46,0
OI000040,O00017,P022,4,4361.46,5
OI000041,O00017,P020,4,1206.71,5
OI000042,O00017,P009,2,3999.66,20
OI000043,O00017,P017,1,4037.12,0
OI000044,O00018,P004,3,4673.83,15
OI000045,O00018,P022,4,4361.46,10
OI000046,O00018,P022,3,4361.46,0
OI000047,O00018,P008,4,1552.99,10
OI000048,O00019,P001,2,415.50,0
OI000049,O00020,P025,2,3313.96,20
OI000050,O00020,P009,3,3999.66,0
OI000051,O00021,P001,0,415.50,15
OI000052,O00022,P006,2,4360.10,5
OI000053,O00022,P018,2,1368.70,10
OI000054,O00022,P018,3,1368.70,0
OI000055,O00022,P013,1,1344.44,5
OI000056,O00023,P015,1,2462.43,20
OI000057,O00024,P019,4,410.22,10
OI000058,O00024,P013,4,1344.44,0
OI000059,O00024,P004,4,4673.83,0
OI000060,O00025,P006,4,4360.10,20
OI000061,O00025,P023,3,4843.38,0
OI000062,O00025,P014,1,4136.96,0
OI000063,O00026,P019,4,410.22,10
OI000064,O00026,P003,4,1860.27,20
OI000065,O00026,P010,3,807.05,0
OI000066,O00026,P011,2,4398.18,0
OI000067,O00027,P017,2,4037.12,20
OI000068,O00028,P012,2,4334.39,0
OI000069,O00028,P004,2,4673.83,0
OI000070,O00028,P007,2,4109.52,10
OI000071,O00029,P025,1,3313.96,0
OI000072,O00029,P025,4,3313.96,5
OI000073,O00030,P022,3,4361.46,20
OI000074,O00030,P021,3,1841.83,0
OI000075,O00030,P015,1,2462.43,5
OI000076,O00030,P015,3,2462.43,20
OI000077,O00031,P019,1,410.22,0
OI000078,O00031,P017,1,4037.12,0
OI000079,O00031,P015,4,2462.43,0
OI000080,O00032,P012,3,4334.39,0
OI000081,O00033,P020,4,1206.71,5
OI000082,O00034,P015,2,2462.43,0
OI000083,O00035,P017,2,4037.12,0
OI000084,O00035,P015,1,2462.43,20
OI000085,O00035,P011,1,4398.18,10
OI000086,O00035,P021,2,1841.83,0
OI000087,O00036,P023,4,4843.38,5
OI000088,O00036,P017,2,4037.12,0
OI000089,O00037,P010,4,807.05,5
OI000090,O00037,P025,3,3313.96,15
OI000091,O00037,P020,1,1206.71,20
OI000092,O00038,P003,3,1860.27,0
OI000093,O00038,P018,4,1368.70,0
OI000094,O00038,P009,2,3999.66,0
OI000095,O00039,P019,2,410.22,0
OI000096,O00040,P021,4,1841.83,0
OI000097,O00040,P020,1,1206.71,0
OI000098,O00040,P018,4,1368.70,15
OI000099,O00041,P005,1,4069.51,15
OI000100,O00041,P022,4,4361.46,10
OI000101,O00041,P012,1,,0
OI000102,O00042,P006,2,4360.10,0
OI000103,O00042,P025,4,3313.96,0
OI000104,O00042,P008,2,1552.99,0
OI000105,O00043,P010,1,807.05,10
OI000106,O00044,P022,3,4361.46,20
OI000107,O00045,P020,4,1206.71,0
OI000108,O00045,P006,2,4360.10,20
OI000109,O00046,P024,4,1610.89,0
OI000110,O00046,P014,3,4136.96,15
OI000111,O00047,P015,3,2462.43,20
OI000112,O00047,P024,4,1610.89,0
OI000113,O00048,P010,4,807.05,20
OI000114,O00048,P007,3,4109.52,15
OI000115,O00049,P015,3,2462.43,20
OI000116,O00049,P013,4,1344.44,0
OI000117,O00049,P007,2,4109.52,20
OI000118,O00049,P009,1,3999.66,15
OI000119,O00050,P012,1,4334.39,15
OI000120,O00050,P017,1,4037.12,0
OI000121,O00050,P003,2,1860.27,0
OI000122,O00050,P015,2,2462.43,20
OI000123,O00051,P003,2,1860.27,20
OI000124,O00051,P015,3,2462.43,0
OI000125,O00051,P014,1,4136.96,5
OI000126,O00051,P017,3,4037.12,0
OI000127,O00052,P003,3,1860.27,0
OI000128,O00052,P001,3,415.50,0
OI000129,O00052,P023,3,4843.38,20
OI000130,O00052,P005,2,4069.51,0
OI000131,O00053,P016,2,1733.40,20
OI000132,O00053,P023,4,4843.38,5
OI000133,O00053,P020,1,1206.71,0
OI000134,O00054,P009,2,3999.66,20
OI000135,O00055,P018,4,1368.70,0
OI000136,O00055,P025,3,3313.96,0
OI000137,O00056,P004,1,4673.83,0
OI000138,O00056,P014,4,4136.96,0
OI000139,O00056,P004,4,4673.83,10
OI000140,O00057,P021,2,1841.83,15
OI000141,O00058,P010,4,807.05,0
OI000142,O00058,P020,3,1206.71,0
OI000143,O00059,P006,1,4360.10,10
OI000144,O00059,P012,1,4334.39,10
OI000145,O00059,P018,1,1368.70,5
OI000146,O00059,P016,1,1733.40,15
OI000147,O00060,P012,3,4334.39,15
OI000148,O00060,P001,3,415.50,20
OI000149,O00060,P003,3,1860.27,0
OI000150,O00060,P024,1,1610.89,20
OI000151,O00061,P005,1,4069.51,105
OI000152,O00061,P018,3,1368.70,20
OI000153,O00061,P021,2,1841.83,20
OI000154,O00062,P023,4,4843.38,15
OI000155,O00062,P006,2,4360.10,0
OI000156,O00062,P023,4,4843.38,0
OI000157,O00062,P010,2,807.05,0
OI000158,O00063,P002,3,3760.85,0
OI000159,O00063,P017,4,4037.12,20
OI000160,O00064,P009,1,3999.66,20
OI000161,O00064,P021,2,1841.83,0
OI000162,O00064,P012,1,4334.39,20
OI000163,O00064,P021,3,1841.83,0
OI000164,O00065,P012,4,4334.39,5
OI000165,O00066,P013,3,1344.44,0
OI000166,O00066,P016,4,1733.40,0
OI000167,O00066,P017,3,4037.12,20
OI000168,O00066,P003,4,1860.27,0
OI000169,O00067,P020,2,1206.71,10
OI000170,O00067,P010,3,807.05,0
OI000171,O00067,P003,3,1860.27,15
OI000172,O00067,P010,3,807.05,5
OI000173,O00068,P006,4,4360.10,0
OI000174,O00068,P015,1,2462.43,15
OI000175,O00068,P012,4,4334.39,0
OI000176,O00068,P021,1,1841.83,0
OI000177,O00069,P012,2,4334.39,0
OI000178,O00069,P005,4,4069.51,0
OI000179,O00069,P005,1,4069.51,0
OI000180,O00069,P025,3,3313.96,0
OI000181,O00070,P019,1,410.22,10
OI000182,O00070,P005,4,4069.51,0
OI000183,O00070,P012,4,4334.39,20
OI000184,O00070,P003,2,1860.27,10
OI000185,O00071,P013,3,1344.44,15
OI000186,O00071,P009,2,3999.66,0
OI000187,O00071,P001,2,415.50,5
OI000188,O00072,P018,1,1368.70,0
OI000189,O00072,P025,3,3313.96,15
OI000190,O00072,P015,2,2462.43,10
OI000191,O00072,P010,4,807.05,0
OI000192,O00073,P005,1,4069.51,5
OI000193,O00074,P023,4,4843.38,0
OI000194,O00074,P022,3,4361.46,15
OI000195,O00075,P023,1,4843.38,10
OI000196,O00075,P018,3,1368.70,0
OI000197,O00075,P006,2,4360.10,20
OI000198,O00076,P017,2,4037.12,0
